Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.35_al.h5,0.35,462287,12.3356007497097,94.3,94.2,0.926686217008798,1.79521942138672,model_0.35_al.h5,0.152006051063538,model_0.35_al.h5,462287,2.8857184868421
model_0.36_al.h5,0.36,491096,13.10433602022,95,94.2,0.936883629191322,1.90504455566406,model_0.36_al.h5,0.169199326515198,model_0.36_al.h5,491096,2.89021084316692
model_0.37_al.h5,0.37,517342,13.8046805621969,95.3,94.2,0.939012584704744,2.00510025024414,model_0.37_al.h5,0.164575936317444,model_0.37_al.h5,517342,2.88691717110236
model_0.38_al.h5,0.38,547794,14.6172574117085,94.48,94.2,0.923076923076923,2.12119293212891,model_0.38_al.h5,0.182975557804108,model_0.38_al.h5,547794,2.86394947599949
model_0.39_al.h5,0.39,571014,15.2368565988114,94.74,94.2,0.949317738791423,2.20971298217773,model_0.39_al.h5,0.188324271202087,model_0.39_al.h5,571014,2.88628680234981
model_0.4_al.h5,0.4,602983,16.0899128611927,94.48,94.2,0.93385982230997,2.33159255981445,model_0.4_al.h5,0.17238224697113,model_0.4_al.h5,602983,2.86350619893902
model_0.41_al.h5,0.41,635822,16.9661840801967,94.64,94.2,0.936046511627907,2.45679092407227,model_0.41_al.h5,0.192660990715027,model_0.41_al.h5,635822,2.85888504408123
model_0.42_al.h5,0.42,665631,17.7616032088941,93.7,94.2,0.93713163064833,2.57043838500977,model_0.42_al.h5,0.21989551782608,model_0.42_al.h5,665631,2.85371092586507
model_0.43_al.h5,0.43,700113,18.6817160068994,94.42,94.2,0.937561942517344,2.701904296875,model_0.43_al.h5,0.201807219028473,model_0.43_al.h5,700113,2.84688115788427
model_0.44_al.h5,0.44,731371,19.5158000461097,94.48,94.2,0.93909626719057,2.82107925415039,model_0.44_al.h5,0.23267217874527,model_0.44_al.h5,731371,2.84190121743374
model_0.45_al.h5,0.45,762319,20.3416120892821,94.66,94.2,0.943842364532019,2.93907165527344,model_0.45_al.h5,0.209379298686981,model_0.45_al.h5,762319,2.84030037257035
model_0.46_al.h5,0.46,794918,21.2114791823212,94.78,94.2,0.940944881889764,3.06341552734375,model_0.46_al.h5,0.216340986251831,model_0.46_al.h5,794918,2.83043039333135
model_0.47_al.h5,0.47,832560,22.2159129721976,94.1,94.2,0.937007874015748,3.20693588256836,model_0.47_al.h5,0.227143303871155,model_0.47_al.h5,832560,2.81841885743738
model_0.48_al.h5,0.48,866608,23.1244449757497,94.46,94.2,0.931237721021611,3.33675384521484,model_0.48_al.h5,0.232470942497253,model_0.48_al.h5,866608,2.80526644302489
model_0.49_al.h5,0.49,905893,24.1727203446274,94.46,94.2,0.936086529006883,3.48654174804687,model_0.49_al.h5,0.235962083339691,model_0.49_al.h5,905893,2.80201846611217
model_0.5_al.h5,0.5,946048,25.2442106701277,94.62,94.2,0.933070866141732,3.63969421386719,model_0.5_al.h5,0.26252015542984,model_0.5_al.h5,946048,2.79043161684813
model_0.51_al.h5,0.51,972839,25.9590979148166,94.66,94.2,0.935834155972359,3.74185562133789,model_0.51_al.h5,0.274814810752869,model_0.51_al.h5,972839,2.78764977130708
model_0.52_al.h5,0.52,1014436,27.0690663638227,94.14,94.2,0.928501469147894,3.90046310424805,model_0.52_al.h5,0.273523352146149,model_0.52_al.h5,1014436,2.77129635832984
model_0.53_al.h5,0.53,1051997,28.0713387611859,94.46,94.2,0.934119960668633,4.04563522338867,model_0.53_al.h5,0.27817892408371,model_0.53_al.h5,1051997,2.76920469326745
model_0.54_al.h5,0.54,1095237,29.2251487891933,94.1,94.2,0.926542605288932,4.21051025390625,model_0.54_al.h5,0.28838624382019,model_0.54_al.h5,1095237,2.75224575189009
model_0.55_al.h5,0.55,1134247,30.2660860970695,94.1,94.2,0.932419196865818,4.35925674438477,model_0.55_al.h5,0.295698504924774,model_0.55_al.h5,1134247,2.7501225799717
model_0.56_al.h5,0.56,1172693,31.2919737089282,94.46,94.2,0.935707220573689,4.50585174560547,model_0.56_al.h5,0.296828129768372,model_0.56_al.h5,1172693,2.74541922561009
model_0.57_al.h5,0.57,1213044,32.3686940706332,94.78,94.2,0.935960591133005,4.65971374511719,model_0.57_al.h5,0.312278069972992,model_0.57_al.h5,1213044,2.7371886408852
model_0.58_al.h5,0.58,1259444,33.6068250905116,94.7,94.2,0.939424031777557,4.83664321899414,model_0.58_al.h5,0.331303124904633,model_0.58_al.h5,1259444,2.73099592813873
model_0.59_al.h5,0.59,1301244,34.7222103627297,94.74,94.2,0.936633663366337,4.99603271484375,model_0.59_al.h5,0.339380344867706,model_0.59_al.h5,1301244,2.71930149931283
