Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.22_al.h5,0.22,185584,4.95209713778264,94.5,93.14,0.946236559139785,0.738559722900391,model_0.22_al.h5,0.059759514331818,model_0.22_al.h5,185584,2.96427291319134
model_0.23_al.h5,0.23,203992,5.44329359928957,94.2,93.14,0.943359375,0.808708190917969,model_0.23_al.h5,0.063075289726257,model_0.23_al.h5,203992,2.95741355870332
model_0.24_al.h5,0.24,221037,5.89811996208757,95.4,93.14,0.954901960784314,0.873664855957031,model_0.24_al.h5,0.066670801639557,model_0.24_al.h5,221037,2.96578726250876
model_0.25_al.h5,0.25,241088,6.43315800259581,94.9,93.14,0.950243902439024,0.950080871582031,model_0.25_al.h5,0.074042227268219,model_0.25_al.h5,241088,2.95673937257164
model_0.26_al.h5,0.26,259582,6.92664927590682,94.8,93.14,0.948919449901768,1.02056503295898,model_0.26_al.h5,0.077579808235169,model_0.26_al.h5,259582,2.95146243552569
model_0.27_al.h5,0.27,278169,7.42262214802924,94.8,93.14,0.948616600790514,1.09140396118164,model_0.27_al.h5,0.081543965339661,model_0.27_al.h5,278169,2.94722623663612
model_0.28_al.h5,0.28,298004,7.95189647516907,95.1,93.14,0.951437066402379,1.1670036315918,model_0.28_al.h5,0.094199502468109,model_0.28_al.h5,298004,2.94597018917101
model_0.29_al.h5,0.29,321215,8.57125550754833,94.9,93.14,0.948743718592965,1.25547409057617,model_0.29_al.h5,0.101301472187042,model_0.29_al.h5,321215,2.93827108303499
model_0.3_al.h5,0.3,345296,9.21382949655031,96.3,93.14,0.963330029732408,1.34783172607422,model_0.3_al.h5,0.195049149990082,model_0.3_al.h5,345296,2.94834441924781
model_0.31_al.h5,0.31,365010,9.73987507684951,96.3,93.14,0.963402571711177,1.42299652099609,model_0.31_al.h5,0.146536724567413,model_0.31_al.h5,365010,2.94426891820916
model_0.32_al.h5,0.32,390659,10.4242893554888,93.3,93.14,0.93437806072478,1.52077865600586,model_0.32_al.h5,0.118117842674255,model_0.32_al.h5,390659,2.90877829924357
model_0.33_al.h5,0.33,410324,10.9490274267368,92.6,93.14,0.92925430210325,1.59574508666992,model_0.33_al.h5,0.215986545085907,model_0.33_al.h5,410324,2.89936391925514
model_0.34_al.h5,0.34,437490,11.6739211182458,92.9,93.14,0.932057416267943,1.69931411743164,model_0.34_al.h5,0.24193422794342,model_0.34_al.h5,437490,2.89654531770147
model_0.35_al.h5,0.35,462287,12.3356007497097,92.5,93.14,0.926686217008798,1.79521942138672,model_0.35_al.h5,0.250909576416016,model_0.35_al.h5,462287,2.8857184868421
model_0.36_al.h5,0.36,491096,13.10433602022,93.6,93.14,0.936883629191322,1.90504455566406,model_0.36_al.h5,0.282768971920013,model_0.36_al.h5,491096,2.89021084316692
model_0.37_al.h5,0.37,517342,13.8046805621969,93.7,93.14,0.939012584704744,2.00510025024414,model_0.37_al.h5,0.265557353496551,model_0.37_al.h5,517342,2.88691717110236
model_0.38_al.h5,0.38,547794,14.6172574117085,92.2,93.14,0.923076923076923,2.12119293212891,model_0.38_al.h5,0.27810690164566,model_0.38_al.h5,547794,2.86394947599949
model_0.39_al.h5,0.39,571014,15.2368565988114,94.8,93.14,0.949317738791423,2.20971298217773,model_0.39_al.h5,0.300308783054352,model_0.39_al.h5,571014,2.88628680234981
model_0.4_al.h5,0.4,602983,16.0899128611927,93.3,93.14,0.93385982230997,2.33159255981445,model_0.4_al.h5,0.207825498580933,model_0.4_al.h5,602983,2.86350619893902
model_0.41_al.h5,0.41,635822,16.9661840801967,93.4,93.14,0.936046511627907,2.45679092407227,model_0.41_al.h5,0.312827429771423,model_0.41_al.h5,635822,2.85888504408123
model_0.42_al.h5,0.42,665631,17.7616032088941,93.6,93.14,0.93713163064833,2.57043838500977,model_0.42_al.h5,0.412114663124084,model_0.42_al.h5,665631,2.85371092586507
model_0.43_al.h5,0.43,700113,18.6817160068994,93.7,93.14,0.937561942517344,2.701904296875,model_0.43_al.h5,0.289211578369141,model_0.43_al.h5,700113,2.84688115788427
model_0.44_al.h5,0.44,731371,19.5158000461097,93.8,93.14,0.93909626719057,2.82107925415039,model_0.44_al.h5,0.373196849822998,model_0.44_al.h5,731371,2.84190121743374
model_0.45_al.h5,0.45,762319,20.3416120892821,94.3,93.14,0.943842364532019,2.93907165527344,model_0.45_al.h5,0.251702256202698,model_0.45_al.h5,762319,2.84030037257035
model_0.46_al.h5,0.46,794918,21.2114791823212,94,93.14,0.940944881889764,3.06341552734375,model_0.46_al.h5,0.256292715072632,model_0.46_al.h5,794918,2.83043039333135
model_0.47_al.h5,0.47,832560,22.2159129721976,93.6,93.14,0.937007874015748,3.20693588256836,model_0.47_al.h5,0.26916232585907,model_0.47_al.h5,832560,2.81841885743738
model_0.48_al.h5,0.48,866608,23.1244449757497,93,93.14,0.931237721021611,3.33675384521484,model_0.48_al.h5,0.274204084873199,model_0.48_al.h5,866608,2.80526644302489
model_0.49_al.h5,0.49,905893,24.1727203446274,93.5,93.14,0.936086529006883,3.48654174804687,model_0.49_al.h5,0.284599587917328,model_0.49_al.h5,905893,2.80201846611217
model_0.5_al.h5,0.5,946048,25.2442106701277,93.2,93.14,0.933070866141732,3.63969421386719,model_0.5_al.h5,0.305398166179657,model_0.5_al.h5,946048,2.79043161684813
model_0.51_al.h5,0.51,972839,25.9590979148166,93.5,93.14,0.935834155972359,3.74185562133789,model_0.51_al.h5,0.311794655323029,model_0.51_al.h5,972839,2.78764977130708
